av_infections_4,sd_infections_4,av_susceptible_4,sd_susceptible_4,av_recovered_4,sd_recovered_4,av_infections_6,sd_infections_6,av_susceptible_6,sd_susceptible_6,av_recovered_6,sd_recovered_6,av_infections_8,sd_infections_8,av_susceptible_8,sd_susceptible_8,av_recovered_8,sd_recovered_8,av_infections_12,sd_infections_12,av_susceptible_12,sd_susceptible_12,av_recovered_12,sd_recovered_12,av_infections_15,sd_infections_15,av_susceptible_15,sd_susceptible_15,av_recovered_15,sd_recovered_15,time
3332.8,320.3278875707757,22.9,22.72761413884978,6103.8,523.1831631677592,3469.3,381.0392368247659,1033.4,1034.1572199407378,4121.7,1074.7662329807147,2548.8,473.70239133400577,3467.0,1115.607955829964,2539.1,578.6465914336468,1398.6,342.2261110890154,6349.3,819.9970257398634,1377.0,277.70888034454754,932.0,287.8579896793247,7568.4,654.7386586349634,897.1,175.09708418157308,30
3047.6,343.3605814430202,18.5,17.232076034083775,6499.6,508.2368651633912,3406.7,245.58775304246026,849.8,884.1055492542857,4490.2,1133.094268903617,2606.2,447.40779310751094,3172.5,1085.662649670186,2794.3,620.5275622851539,1449.5,363.7081400121684,6143.1,845.8384991632071,1510.8,307.4998825654699,966.4,301.2913687593604,7438.1,696.6131478645647,986.6,197.6912295025306,31
2764.7,337.37583724320797,14.8,13.019643278950122,6872.7,472.37509813000656,3310.2,122.68731710237118,696.8,744.6515665434107,4856.9,1187.731306127592,2652.5,417.5426125958084,2845.2,1069.2235812339095,3052.0,664.7255072584472,1504.8,384.68220650297826,5947.8,912.011184141949,1650.8,336.34565553906,1005.1,311.9513672923322,7295.0,736.7441889828518,1076.3,225.87658872342953,32
2494.6,325.65155202045844,12.3,11.402241495035575,7213.2,434.27072969136043,3193.1,150.77462946029377,568.0,622.4848057047925,5211.3,1229.8241111819384,2706.3,366.15571975747025,2558.2,1054.0598549312926,3310.9,707.7497125082817,1551.8,404.3663905145651,5723.4,973.9826829398286,1798.3,362.92118826115524,1042.1,338.3047442765177,7151.7,779.7161948070878,1175.0,252.34324066856064,33
2247.3,316.71685567185506,10.8,9.566144004305555,7518.1,398.2094507500628,3057.3,257.40933678999806,458.3,513.7987176144196,5568.3,1245.5422781530408,2728.7,310.0172217438537,2284.3,1020.4717917599575,3585.1,754.1667145488016,1601.1,413.80737601503,5501.8,1023.2955259031153,1946.4,402.1600565833349,1077.5,354.26394742401385,7022.5,826.4936983022517,1273.7,274.92425219402605,34
2008.3,302.4860143690761,10.2,8.866917289691058,7799.7,367.1288148139106,2913.9,353.1494647375873,360.8,411.8086934487906,5907.4,1241.8510556602366,2751.1,272.84446118622236,2005.9,963.1019849077943,3854.4,790.3230281909347,1642.5,436.3811407473976,5275.4,1059.0880983185489,2102.9,431.8722676388883,1105.9,371.41664236033125,6874.8,862.7654245377349,1378.5,303.60692789636187,35
1785.1,277.96300713104495,9.3,7.46919600016554,8055.6,326.6320389810052,2752.3,432.21986431804714,279.8,337.09635945164933,6239.4,1219.9358088759334,2758.8,231.36829706960478,1762.5,912.6373564808995,4144.8,818.4673753085364,1687.0,449.51133961719415,5070.4,1096.5968772120004,2260.2,469.85761436607345,1135.8,378.2664551755959,6724.8,898.8709955642504,1486.3,336.17688796227503,36
1574.0,257.41837972884184,8.4,6.432556084308771,8287.6,295.73681993736704,2589.7,507.9680764247559,207.9,267.8077461330962,6553.6,1192.5630847511218,2747.9,186.10119708254314,1538.3,858.6265583282798,4426.5,844.2705266810054,1735.5,454.5687211217048,4867.9,1146.8176693209198,2421.9,508.8746735035389,1167.4,386.3122513661139,6566.9,946.7764549013434,1593.4,368.62543470454006,37
1395.4,232.82764249785959,7.8,5.613475849338902,8483.5,261.2152156534701,2419.4,563.1840433345627,153.4,208.4824532984331,6851.5,1155.6976969202053,2742.6,163.2681502586738,1311.2,822.9352343896815,4707.5,867.8245150310568,1771.0,461.53463816080176,4626.6,1146.5568939704262,2600.0,543.6626813669586,1191.6,391.3663245605069,6423.5,975.0732451120446,1708.5,407.7407264426746,38
1221.6,213.72734447837456,7.3,5.143496432929214,8667.9,233.4658909181858,2257.6,605.954563753202,106.9,152.34059063675562,7133.5,1105.024811184497,2722.8,154.50480035692527,1108.8,764.8945896875813,4992.7,897.5496334155814,1801.3,454.3002066671088,4401.8,1169.4155995386946,2777.2,591.6210874462735,1227.2,397.56363571690565,6275.6,1009.4721613023532,1819.2,439.5466856761508,39
1070.9,201.27065801496695,7.0,4.496912521077347,8826.7,214.61078465186432,2088.4,628.7644321294829,71.9,106.10314687971218,7400.5,1047.2246124346434,2678.2,165.77280302336155,936.7,711.7363822215201,5286.8,911.2279626964922,1828.4,428.6960072903254,4209.5,1195.1701180631612,2958.0,636.6134358200953,1251.6,404.1628384698425,6118.5,1034.9608956649306,1941.0,477.32146167732475,40
935.0,185.89064885930475,6.9,4.383048152953731,8967.9,192.1957624691843,1934.3,646.8809009392687,47.8,75.6803218221957,7641.0,987.8885452204503,2626.4,192.02904872845556,779.7,643.2450803024718,5571.5,920.7282443805012,1860.5,418.7691620822994,4021.1,1194.4629151026647,3139.0,674.4770813996079,1265.7,390.7471617868061,5964.1,1076.8023082772024,2069.8,522.4861082682804,41
814.5,164.32910745073605,6.6,3.977715704047013,9089.3,166.99903526002112,1775.1,643.8780854236995,29.3,51.15998870645345,7868.4,923.3201202424024,2552.2,231.39230756444778,628.1,585.5290959655397,5855.6,924.2103175744745,1880.9,405.1464618573826,3831.1,1204.5992833026812,3324.6,719.7887344368639,1283.5,397.16110640953303,5815.9,1132.9868539003933,2194.8,559.4691531562158,42
710.0,143.07573751921277,6.6,3.977715704047013,9194.4,144.36697067619804,1627.4,643.9080679724397,23.7,39.17779983613169,8075.5,866.4205099142102,2478.7,267.8644142928367,504.0,528.7851905809936,6130.5,927.2376238651617,1901.7,378.82803193240306,3641.6,1205.2965702358165,3506.7,755.6311637006215,1303.0,395.25434848967825,5670.8,1172.2328930530637,2330.9,600.9739225253917,43
613.5,131.74322668652752,6.4,3.6575644598253874,9291.8,129.9784597539146,1469.0,625.3948086342472,20.4,33.45378238040588,8277.5,802.7608264261806,2404.0,311.89456908099925,407.5,469.9960401724442,6401.8,910.0199997802246,1907.8,350.46597552401573,3440.3,1193.4418991583407,3698.8,801.1549718305996,1316.0,384.53984044424953,5497.2,1204.001458101738,2465.6,649.1865337139669,44
535.2,114.64224546145476,6.3,3.653004851412662,9370.0,112.37734053921487,1333.7,603.1679423399976,16.7,23.89816357426282,8453.0,738.4015769815832,2309.9,343.4366996502655,315.2,397.62595488725333,6655.1,892.4890849005754,1914.8,314.8565105285616,3248.0,1171.4954355675295,3893.6,848.574648061874,1334.2,376.2882464872434,5344.7,1236.9513643542246,2597.9,692.9456367966794,45
460.8,97.43008889569086,6.2,3.5213633723318023,9443.3,95.05325992422469,1199.6,562.3002756534981,13.8,17.523317798484015,8619.1,664.5814806661741,2214.5,373.94094899239553,245.5,340.8173997905623,6898.7,874.414477108984,1920.8,286.933906443046,3056.6,1153.0169315515036,4087.2,880.0825466334899,1352.5,366.9281643289021,5190.0,1258.525680663247,2726.9,736.4445291021209,46
397.0,90.29088793695875,6.2,3.5213633723318023,9506.6,87.80053150940107,1064.8,521.6211481738659,11.4,11.852800887928932,8774.2,601.6004210991434,2089.9,392.6540603522535,194.4,285.9006043287694,7155.9,847.8771464991586,1909.4,260.94324627738075,2889.2,1123.2158989061522,4289.6,908.126912324973,1370.3,348.79126199554435,5047.8,1282.4247692901479,2863.7,782.3204870412409,47
