cell,microcell,location_x,location_y,household_number,place_number,Susceptible,InfectMild
541,0,6.18333333333334,49.9166666666667,1,7,2,0
541,1,6.18333333333334,49.9166666666667,0,4,0,0
541,2,6.18333333333334,49.9166666666667,0,5,0,0
541,3,6.18333333333334,49.9166666666667,0,7,0,0
541,4,6.18333333333334,49.9166666666667,0,1,0,0
541,5,6.18333333333334,49.9166666666667,2,6,3,0
541,6,6.18333333333334,49.9166666666667,1,8,1,0
541,7,6.18333333333334,49.9166666666667,1,11,2,0
541,8,6.18333333333334,49.9166666666667,1,9,1,0
542,0,6.19166666666668,49.9166666666667,14,4,33,0
542,1,6.19166666666668,49.9166666666667,13,5,31,0
542,2,6.19166666666668,49.9166666666667,13,1,31,0
542,3,6.19166666666668,49.9166666666667,13,3,30,0
542,4,6.19166666666668,49.9166666666667,9,4,22,0
542,5,6.19166666666668,49.9166666666667,14,9,34,0
542,6,6.19166666666668,49.9166666666667,16,4,38,0
542,7,6.19166666666668,49.9166666666667,13,6,30,0
542,8,6.19166666666668,49.9166666666667,11,9,27,0
543,0,6.20000000000001,49.9166666666667,2,3,3,0
543,1,6.20000000000001,49.9166666666667,1,6,1,0
543,2,6.20000000000001,49.9166666666667,1,4,1,0
543,3,6.20000000000001,49.9166666666667,2,9,4,0
543,4,6.20000000000001,49.9166666666667,0,5,0,0
543,5,6.20000000000001,49.9166666666667,1,6,1,0
543,6,6.20000000000001,49.9166666666667,1,4,2,0
543,7,6.20000000000001,49.9166666666667,1,6,2,0
543,8,6.20000000000001,49.9166666666667,1,3,1,0
544,0,5.76666666666668,49.9083333333333,2,5,3,0
544,1,5.76666666666668,49.9083333333333,2,6,3,0
544,2,5.76666666666668,49.9083333333333,1,4,1,0
544,3,5.76666666666668,49.9083333333333,2,1,3,0
544,4,5.76666666666668,49.9083333333333,3,4,5,0
544,5,5.76666666666668,49.9083333333333,3,2,5,0
544,6,5.76666666666668,49.9083333333333,1,7,2,0
544,7,5.76666666666668,49.9083333333333,0,5,0,0
544,8,5.76666666666668,49.9083333333333,1,6,2,0
545,0,5.77500000000001,49.9083333333333,9,7,20,0
545,1,5.77500000000001,49.9083333333333,10,5,23,0
545,2,5.77500000000001,49.9083333333333,10,4,23,0
545,3,5.77500000000001,49.9083333333333,10,3,23,0
545,4,5.77500000000001,49.9083333333333,8,6,18,0
545,5,5.77500000000001,49.9083333333333,9,9,22,0
545,6,5.77500000000001,49.9083333333333,8,4,18,0
545,7,5.77500000000001,49.9083333333333,7,8,15,0
545,8,5.77500000000001,49.9083333333333,11,4,26,0
546,0,5.78333333333334,49.9083333333333,2,3,4,0
546,1,5.78333333333334,49.9083333333333,1,5,2,0
546,2,5.78333333333334,49.9083333333333,3,1,5,0
546,3,5.78333333333334,49.9083333333333,3,6,5,0
546,4,5.78333333333334,49.9083333333333,3,5,5,0
546,5,5.78333333333334,49.9083333333333,1,6,1,0
546,6,5.78333333333334,49.9083333333333,4,5,8,0
546,7,5.78333333333334,49.9083333333333,3,4,7,0
546,8,5.78333333333334,49.9083333333333,0,4,0,0
547,0,5.80000000000001,49.9083333333333,0,4,0,0
547,1,5.80000000000001,49.9083333333333,1,4,2,0
547,2,5.80000000000001,49.9083333333333,1,3,2,0
547,3,5.80000000000001,49.9083333333333,0,3,0,0
547,4,5.80000000000001,49.9083333333333,1,6,2,0
547,5,5.80000000000001,49.9083333333333,2,8,4,0
547,6,5.80000000000001,49.9083333333333,0,7,0,0
547,7,5.80000000000001,49.9083333333333,1,4,1,0
547,8,5.80000000000001,49.9083333333333,1,4,1,0
548,0,5.80833333333334,49.9083333333333,2,4,4,0
548,1,5.80833333333334,49.9083333333333,2,7,4,0
548,2,5.80833333333334,49.9083333333333,3,6,6,0
548,3,5.80833333333334,49.9083333333333,5,3,10,0
548,4,5.80833333333334,49.9083333333333,6,4,13,0
548,5,5.80833333333334,49.9083333333333,3,5,7,0
548,6,5.80833333333334,49.9083333333333,3,3,5,0
548,7,5.80833333333334,49.9083333333333,5,3,11,0
548,8,5.80833333333334,49.9083333333333,6,4,13,0
549,0,5.81666666666668,49.9083333333333,2,1,4,0
549,1,5.81666666666668,49.9083333333333,3,11,5,0
549,2,5.81666666666668,49.9083333333333,3,7,5,0
549,3,5.81666666666668,49.9083333333333,2,8,4,0
549,4,5.81666666666668,49.9083333333333,1,4,2,0
549,5,5.81666666666668,49.9083333333333,3,7,5,0
549,6,5.81666666666668,49.9083333333333,2,4,4,0
549,7,5.81666666666668,49.9083333333333,1,6,2,0
549,8,5.81666666666668,49.9083333333333,2,4,3,0
550,0,5.86666666666668,49.9083333333333,0,1,0,0
550,1,5.86666666666668,49.9083333333333,0,4,0,0
550,2,5.86666666666668,49.9083333333333,1,3,1,0
550,3,5.86666666666668,49.9083333333333,1,4,1,0
550,4,5.86666666666668,49.9083333333333,1,6,1,0
550,5,5.86666666666668,49.9083333333333,1,9,1,0
550,6,5.86666666666668,49.9083333333333,0,9,0,0
550,7,5.86666666666668,49.9083333333333,0,4,0,0
550,8,5.86666666666668,49.9083333333333,0,9,0,0
551,0,5.87500000000001,49.9083333333333,4,1,8,0
551,1,5.87500000000001,49.9083333333333,2,3,4,0
551,2,5.87500000000001,49.9083333333333,2,5,4,0
551,3,5.87500000000001,49.9083333333333,4,4,9,0
551,4,5.87500000000001,49.9083333333333,3,10,7,0
551,5,5.87500000000001,49.9083333333333,4,4,8,0
551,6,5.87500000000001,49.9083333333333,2,6,3,0
